Sat Sep 24 22:17:23 2022    output.dat

         4672220703 function calls (4533127694 primitive calls) in 3844.272 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
583457745   52.484    0.000   52.484    0.000 {built-in method numpy.asarray}
282732451/282732444   49.073    0.000   76.368    0.000 {built-in method builtins.isinstance}
233745780/207573284  123.504    0.000  884.403    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
194486206  246.892    0.000  246.892    0.000 {method 'reduce' of 'numpy.ufunc' objects}
194485369   93.005    0.000  893.843    0.000 <__array_function__ internals>:2(array_equal)
194485369   20.380    0.000   20.380    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
194485369  278.895    0.000  696.120    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
194485367   72.018    0.000  364.747    0.000 {method 'all' of 'numpy.ndarray' objects}
194485367   45.845    0.000  292.729    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
120902853   65.423    0.000   70.573    0.000 {built-in method builtins.getattr}
107959321   14.650    0.000   14.650    0.000 {method 'get' of 'dict' objects}
 78117668    8.928    0.000    8.928    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
 78113935   54.239    0.000   54.239    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
 66666701   21.024    0.000   62.887    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
64999304/24430776   72.098    0.000 2106.848    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
56870165/24430105  127.532    0.000 1889.372    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
 56202818   28.139    0.000   36.934    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
 56202818    8.794    0.000    8.794    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
 52473254    7.337    0.000    7.337    0.000 {method 'append' of 'list' objects}
 49137474    5.641    0.000    5.641    0.000 {built-in method builtins.id}
 48678632   12.322    0.000   12.322    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
 46388843   46.938    0.000   46.938    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
 44287816    7.892    0.000    7.895    0.000 {built-in method builtins.issubclass}
40638068/40638052   31.616    0.000  826.169    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
40638068/40638052  110.327    0.000  794.553    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
 37489528   20.424    0.000   66.406    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:355(flatten)
 37489502   45.971    0.000   45.982    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
34351611/1635791   38.604    0.000   88.189    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
 29240225    6.314    0.000    6.315    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:580(ensure_initialized)
 29240217   14.445    0.000   14.445    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
 29238567    8.314    0.000    8.314    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:931(_handle)
 29238284   19.389    0.000   29.643    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:112(get)
 29237823   15.661    0.000  486.427    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
 29237823   34.709    0.000  470.766    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
 29237743  358.422    0.000  391.698    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
 29237743   17.829    0.000  409.527    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
 27713046   17.753    0.000   39.325    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
 27613470   14.160    0.000   32.762    0.000 {built-in method builtins.all}
26466724/26448031    2.984    0.000    2.990    0.000 {built-in method builtins.len}
 26172656    2.583    0.000    2.583    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:182(_deepcopy_atomic)
 26172496    7.775    0.000    7.775    0.000 {built-in method numpy.asanyarray}
 24331533   22.388    0.000   89.156    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
 24331533   10.423    0.000   99.628    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
 24330714   11.486    0.000  412.506    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
 24329880   18.943    0.000  668.261    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1419(stack)
 23625653  451.347    0.000  451.356    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
 22777496   32.244    0.000   82.282    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
 19834581    6.324    0.000   28.383    0.000 {built-in method builtins.hasattr}
 19522318   15.618    0.000   15.618    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:990(scope_name)
 18321981    2.791    0.000    2.791    0.000 {method 'items' of 'dict' objects}
 17985400   13.483    0.000   21.680    0.000 {built-in method _abc._abc_instancecheck}
 17985400    5.537    0.000   27.216    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
 14917248   15.049    0.000   27.434    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
 14667255    2.210    0.000    2.210    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:172(__init__)
 14667255    1.815    0.000    1.815    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:175(__enter__)
 14667255    2.405    0.000    2.405    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:178(__exit__)
 13086318    4.506    0.000    4.506    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 13086248    2.025    0.000    2.025    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
 13086248   17.663    0.000   95.827    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
 13086248    7.860    0.000  113.807    0.000 <__array_function__ internals>:2(append)
 13086248    7.499    0.000   37.787    0.000 <__array_function__ internals>:2(ravel)
 13086248    1.922    0.000    1.922    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
 13086248   10.244    0.000   22.822    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
 13086248    9.903    0.000   37.504    0.000 <__array_function__ internals>:2(concatenate)
 13086248    2.080    0.000    2.080    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
 11774254    6.034    0.000    6.034    0.000 {method '__copy__' of 'numpy.ndarray' objects}
 11452547    7.416    0.000    7.416    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
 11452547    5.190    0.000   12.606    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
  9797389    6.421    0.000   13.116    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
  9794110    4.505    0.000    5.350    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
  9788685    3.542    0.000    3.542    0.000 {method 'pop' of 'list' objects}
  9787544    1.761    0.000    1.761    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:265(value)
  9767996    6.496    0.000   17.526    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
  9761182    7.026    0.000    8.169    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
  9761182   29.227    0.000   48.715    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
  9761182   12.572    0.000   31.776    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
  9761162    5.049    0.000    5.049    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:985(scope_name)
  9761159    6.475    0.000   15.670    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
  8196076    6.912    0.000    7.797    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
  8178955    7.324    0.000    9.473    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
8127093/8120527    4.081    0.000    8.938    0.000 {built-in method builtins.next}
  8126362   12.881    0.000   88.556    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
8120649/8113488    5.815    0.000    5.817    0.000 {built-in method _abc._abc_subclasscheck}
8120649/8113488    2.384    0.000    8.200    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:121(__subclasscheck__)
  8109962    4.800    0.000    4.800    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6706(<genexpr>)
  8109960   13.414    0.000  152.405    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  8109960    5.215    0.000   27.598    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:894(_check_index)
  8109960  105.471    0.000 1279.965    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
  8109960   10.521    0.000  162.925    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  6859661    0.706    0.000    0.706    0.000 {method 'copy' of 'list' objects}
  6583175    4.493    0.000    4.493    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
  6576175    0.852    0.000    0.852    0.000 {method 'pop' of 'dict' objects}
  6575642    2.435    0.000    6.078    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:912(<genexpr>)
  6556288    3.100    0.000    9.969    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
  6548078    8.573    0.000   37.967    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
  6546540    2.685    0.000    3.574    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:839(rank)
4954224/4954115    3.815    0.000   18.976    0.000 {built-in method builtins.any}
4907373/1635791   15.299    0.000   80.935    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:226(_deepcopy_dict)
  4906735    3.977    0.000   89.372    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:46(_default_conversion_function)
  4895607    9.045    0.000   28.811    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
  4892147    5.123    0.000    5.123    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  4856261   14.947    0.000  116.032    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
3735366/17032   15.649    0.000   18.712    0.001 /home/marie/backgammon/code/agent.py:65(build_actions)
  3303603    0.675    0.000    0.675    0.000 {built-in method builtins.callable}
  3303187    0.705    0.000    0.705    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:1053(name)
  3302362    1.990    0.000    2.274    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:3384(<genexpr>)
  3302360    2.078    0.000    2.420    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:951(<genexpr>)
  3289483    4.676    0.000    9.888    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:651(_pack_sequence_as)
  3288660    2.216    0.000   12.090    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:691(pack_sequence_as)
  3288618    2.377    0.000    2.377    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/training/tracking/data_structures.py:436(__getitem__)
3287818/3287814    3.743    0.000  211.494    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:916(<listcomp>)
3287818/3287814   16.210    0.000  247.371    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:808(map_structure)
  3286144    6.804    0.000   18.161    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
  3275494    5.684    0.000   11.239    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:155(is_compatible_with)
  3271582    7.757    0.000    7.757    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
  3271562    5.172    0.000    5.172    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  3270101   12.039    0.000  181.449    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1435(r_binary_op_wrapper)
  3269984    5.150    0.000    5.150    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:436(__getattr__)
