Sat Sep 24 22:17:23 2022    output.dat

         4672220703 function calls (4533127694 primitive calls) in 3844.272 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 23625653  451.347    0.000  451.356    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
 29237743  358.422    0.000  391.698    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
194485369  278.895    0.000  696.120    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
194486206  246.892    0.000  246.892    0.000 {method 'reduce' of 'numpy.ufunc' objects}
56870165/24430105  127.532    0.000 1889.372    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
233745780/207573284  123.504    0.000  884.403    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
40638068/40638052  110.327    0.000  794.553    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
  1635781  108.210    0.000 1029.133    0.001 /home/marie/backgammon/code/env/backgammon.py:171(take_step)
  8109960  105.471    0.000 1279.965    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
194485369   93.005    0.000  893.843    0.000 <__array_function__ internals>:2(array_equal)
64999304/24430776   72.098    0.000 2106.848    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
194485367   72.018    0.000  364.747    0.000 {method 'all' of 'numpy.ndarray' objects}
120902853   65.423    0.000   70.573    0.000 {built-in method builtins.getattr}
1651180/1634965   54.657    0.000  837.675    0.001 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:893(__call__)
 78113935   54.239    0.000   54.239    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
583457745   52.484    0.000   52.484    0.000 {built-in method numpy.asarray}
282732451/282732444   49.073    0.000   76.368    0.000 {built-in method builtins.isinstance}
 46388843   46.938    0.000   46.938    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
 37489502   45.971    0.000   45.982    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
194485367   45.845    0.000  292.729    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
34351611/1635791   38.604    0.000   88.189    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
 29237823   34.709    0.000  470.766    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
 22777496   32.244    0.000   82.282    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
40638068/40638052   31.616    0.000  826.169    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
  9761182   29.227    0.000   48.715    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
  1618749   29.024    0.000 2542.018    0.002 /home/marie/backgammon/code/agent.py:157(score)
 56202818   28.139    0.000   36.934    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
 24331533   22.388    0.000   89.156    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
 66666701   21.024    0.000   62.887    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
 37489528   20.424    0.000   66.406    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:355(flatten)
194485369   20.380    0.000   20.380    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
 29238284   19.389    0.000   29.643    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:112(get)
 24329880   18.943    0.000  668.261    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1419(stack)
 29237743   17.829    0.000  409.527    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
 27713046   17.753    0.000   39.325    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
 13086248   17.663    0.000   95.827    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
  1634965   17.454    0.000  315.732    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/layers/core/dense.py:166(call)
  1651181   17.384    0.000   53.108    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/input_spec.py:155(assert_input_compatibility)
  1635008   16.735    0.000  101.626    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:936(cast)
  1634965   16.599    0.000  144.823    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:3488(matmul)
3287818/3287814   16.210    0.000  247.371    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:808(map_structure)
 29237823   15.661    0.000  486.427    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
3735366/17032   15.649    0.000   18.712    0.001 /home/marie/backgammon/code/agent.py:65(build_actions)
 19522318   15.618    0.000   15.618    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:990(scope_name)
4907373/1635791   15.299    0.000   80.935    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:226(_deepcopy_dict)
 14917248   15.049    0.000   27.434    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
  4856261   14.947    0.000  116.032    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
107959321   14.650    0.000   14.650    0.000 {method 'get' of 'dict' objects}
 29240217   14.445    0.000   14.445    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
 27613470   14.160    0.000   32.762    0.000 {built-in method builtins.all}
 17985400   13.483    0.000   21.680    0.000 {built-in method _abc._abc_instancecheck}
  8109960   13.414    0.000  152.405    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  8126362   12.881    0.000   88.556    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
  9761182   12.572    0.000   31.776    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
 48678632   12.322    0.000   12.322    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
  3270101   12.039    0.000  181.449    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1435(r_binary_op_wrapper)
 24330714   11.486    0.000  412.506    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
  1619569   10.968    0.000   10.968    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  8109960   10.521    0.000  162.925    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  1635781   10.461    0.000  129.440    0.000 /home/marie/backgammon/code/env/backgammon.py:143(_flatten_obs)
 24331533   10.423    0.000   99.628    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
 13086248   10.244    0.000   22.822    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
1667397/1634967   10.229    0.000  850.308    0.001 /home/marie/anaconda3/lib/python3.9/site-packages/keras/utils/traceback_utils.py:58(error_handler)
 13086248    9.903    0.000   37.504    0.000 <__array_function__ internals>:2(concatenate)
  1651397    9.212    0.000   19.930    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/tf_decorator.py:61(make_decorator)
  4895607    9.045    0.000   28.811    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
 78117668    8.928    0.000    8.928    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
 56202818    8.794    0.000    8.794    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  1651180    8.649    0.000  160.003    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2449(_maybe_cast_inputs)
    17032    8.609    0.001 3814.544    0.224 /home/marie/backgammon/code/agent.py:361(choose_action)
  6548078    8.573    0.000   37.967    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
 29238567    8.314    0.000    8.314    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:931(_handle)
 44287816    7.892    0.000    7.895    0.000 {built-in method builtins.issubclass}
 13086248    7.860    0.000  113.807    0.000 <__array_function__ internals>:2(append)
 26172496    7.775    0.000    7.775    0.000 {built-in method numpy.asanyarray}
  3271582    7.757    0.000    7.757    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
 13086248    7.499    0.000   37.787    0.000 <__array_function__ internals>:2(ravel)
 11452547    7.416    0.000    7.416    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
 52473254    7.337    0.000    7.337    0.000 {method 'append' of 'list' objects}
  8178955    7.324    0.000    9.473    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
  9761182    7.026    0.000    8.169    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
  8196076    6.912    0.000    7.797    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
  3286144    6.804    0.000   18.161    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
  1634965    6.728    0.000   63.813    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
  1634963    6.676    0.000  859.922    0.001 /home/marie/backgammon/code/network.py:21(call)
  9767996    6.496    0.000   17.526    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
  1634965    6.488    0.000   18.222    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2573(_set_mask_metadata)
