Sat Sep 24 14:33:42 2022    output.dat

         4694406647 function calls (4553755579 primitive calls) in 5127.018 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
583174517   67.039    0.000   67.039    0.000 {built-in method numpy.asarray}
285383419/285383412   61.985    0.000  100.019    0.000 {built-in method builtins.isinstance}
233913317/207581317  161.241    0.000 1135.465    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
194380867  316.437    0.000  316.437    0.000 {method 'reduce' of 'numpy.ufunc' objects}
194380025  117.852    0.000 1141.816    0.000 <__array_function__ internals>:2(array_equal)
194380025   25.829    0.000   25.829    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
194380025  358.160    0.000  889.134    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
194380023   88.181    0.000  463.958    0.000 {method 'all' of 'numpy.ndarray' objects}
194380023   59.349    0.000  375.777    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
121651901   91.960    0.000   99.612    0.000 {built-in method builtins.getattr}
108589315   18.396    0.000   18.396    0.000 {method 'get' of 'dict' objects}
 78513984   70.921    0.000   70.921    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
 78509714   11.486    0.000   11.486    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
 66936843   26.530    0.000   84.318    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
65307481/24506685   94.284    0.000 2823.787    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
57144757/24488804  177.132    0.000 2524.556    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
 56352639   36.804    0.000   47.460    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
 56352639   10.657    0.000   10.657    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
 52786174    9.591    0.000    9.591    0.000 {method 'append' of 'list' objects}
 49447813    7.474    0.000    7.474    0.000 {built-in method builtins.id}
 48995390   16.112    0.000   16.112    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
 46640564   63.832    0.000   63.833    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
 44499445    9.522    0.000    9.585    0.000 {built-in method builtins.issubclass}
40813856/40813836   40.603    0.000 1089.848    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
40813856/40813836  146.349    0.000 1049.244    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
 37655044   26.685    0.000   90.299    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:355(flatten)
 37655018   63.537    0.000   63.614    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
34560960/1645760   50.390    0.000  116.838    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
 29394772    7.768    0.000    7.770    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:580(ensure_initialized)
 29394762   19.218    0.000   19.218    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
 29389831   11.421    0.000   11.421    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:931(_handle)
 29372703   20.494    0.000  644.412    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
 29372703   44.980    0.000  623.918    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
 29372680   26.433    0.000   38.372    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:112(get)
 29372605  478.273    0.000  521.922    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
 29372605   22.682    0.000  544.604    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
 27879819   18.607    0.000   43.535    0.000 {built-in method builtins.all}
 27860399   22.861    0.000   51.267    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
26870658/26850952    3.814    0.000    3.822    0.000 {built-in method builtins.len}
 26332160    3.236    0.000    3.236    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:182(_deepcopy_atomic)
 26332000   10.947    0.000   10.947    0.000 {built-in method numpy.asanyarray}
 24482103   29.358    0.000  117.763    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
 24482103   13.339    0.000  131.164    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
 24481282   14.778    0.000  535.939    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
 24480437   23.818    0.000  870.751    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1419(stack)
 23720446  623.625    0.000  623.659    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
 22854765   41.787    0.000  106.141    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
 19832203    9.583    0.000   43.479    0.000 {built-in method builtins.hasattr}
 19576854   20.165    0.000   20.165    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:990(scope_name)
 18728797   17.093    0.000   28.770    0.000 {built-in method _abc._abc_instancecheck}
 18728797    7.269    0.000   36.039    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
 18355308    3.591    0.000    3.591    0.000 {method 'items' of 'dict' objects}
 14959302   19.269    0.000   35.444    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
 14694576    2.804    0.000    2.804    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:172(__init__)
 14694576    2.331    0.000    2.331    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:175(__enter__)
 14694576    2.762    0.000    2.762    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:178(__exit__)
 13166075    5.940    0.000    5.940    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 13166000    2.678    0.000    2.678    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4758(_append_dispatcher)
 13166000   24.060    0.000  126.668    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
 13166000   10.194    0.000  150.109    0.000 <__array_function__ internals>:2(append)
 13166000    9.475    0.000   48.233    0.000 <__array_function__ internals>:2(ravel)
 13166000    2.328    0.000    2.328    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1714(_ravel_dispatcher)
 13166000   13.086    0.000   29.393    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
 13166000   13.462    0.000   50.520    0.000 <__array_function__ internals>:2(concatenate)
 13166000    2.493    0.000    2.493    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/multiarray.py:148(concatenate)
 11765943    7.927    0.000    7.927    0.000 {method '__copy__' of 'numpy.ndarray' objects}
 11411168    9.897    0.000    9.897    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
 11411168    6.612    0.000   16.509    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
  9895455    8.708    0.000   17.342    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
  9884773    5.834    0.000    6.904    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
  9848743    9.017    0.000   23.609    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
  9834701    2.258    0.000    2.258    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:265(value)
  9818441    4.648    0.000    4.648    0.000 {method 'pop' of 'list' objects}
  9788452    8.981    0.000   10.424    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
  9788452   37.933    0.000   63.484    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
  9788452   16.314    0.000   41.270    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
  9788430    6.634    0.000    6.634    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:985(scope_name)
  9788427    8.673    0.000   20.319    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
8236731/8229038    8.460    0.000    8.461    0.000 {built-in method _abc._abc_subclasscheck}
8236731/8229038    3.281    0.000   11.742    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:121(__subclasscheck__)
  8228800    9.744    0.000   12.509    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
  8193464    9.182    0.000   10.271    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
8189101/8179006    5.223    0.000   11.884    0.000 {built-in method builtins.next}
  8159874    6.320    0.000    6.320    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6706(<genexpr>)
  8159872   17.317    0.000  206.845    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  8159872    7.132    0.000   37.256    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:894(_check_index)
  8159872  141.808    0.000 1683.709    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
  8159872   13.679    0.000  220.524    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  8145134   16.823    0.000  115.672    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
  6968590    0.861    0.000    0.861    0.000 {method 'copy' of 'list' objects}
  6712026    5.974    0.000    5.974    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
  6590287    1.126    0.000    1.126    0.000 {method 'pop' of 'dict' objects}
  6572454    3.121    0.000    8.028    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:912(<genexpr>)
  6557762    3.493    0.000    4.636    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:839(rank)
  6526461   14.421    0.000   54.743    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
  6514376    4.084    0.000   13.940    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
4937280/1645760   20.637    0.000  106.736    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:226(_deepcopy_dict)
  4920315   12.640    0.000   39.320    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
4897080/4894491    5.149    0.000   27.547    0.000 {built-in method builtins.any}
  4891362    7.506    0.000    7.506    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
