Sat Sep 24 14:33:42 2022    output.dat

         4694406647 function calls (4553755579 primitive calls) in 5127.018 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 23720446  623.625    0.000  623.659    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
 29372605  478.273    0.000  521.922    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
194380025  358.160    0.000  889.134    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
194380867  316.437    0.000  316.437    0.000 {method 'reduce' of 'numpy.ufunc' objects}
57144757/24488804  177.132    0.000 2524.556    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
233913317/207581317  161.241    0.000 1135.465    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
40813856/40813836  146.349    0.000 1049.244    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
  1645750  144.608    0.000 1321.505    0.001 /home/marie/backgammon/code/env/backgammon.py:171(take_step)
  8159872  141.808    0.000 1683.709    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
194380025  117.852    0.000 1141.816    0.000 <__array_function__ internals>:2(array_equal)
65307481/24506685   94.284    0.000 2823.787    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
121651901   91.960    0.000   99.612    0.000 {built-in method builtins.getattr}
194380023   88.181    0.000  463.958    0.000 {method 'all' of 'numpy.ndarray' objects}
1628537/1628534   76.575    0.000 1158.615    0.001 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:893(__call__)
 78513984   70.921    0.000   70.921    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
583174517   67.039    0.000   67.039    0.000 {built-in method numpy.asarray}
 46640564   63.832    0.000   63.833    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
 37655018   63.537    0.000   63.614    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
285383419/285383412   61.985    0.000  100.019    0.000 {built-in method builtins.isinstance}
194380023   59.349    0.000  375.777    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
34560960/1645760   50.390    0.000  116.838    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
 29372703   44.980    0.000  623.918    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
 22854765   41.787    0.000  106.141    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
40813856/40813836   40.603    0.000 1089.848    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
  9788452   37.933    0.000   63.484    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
  1628530   37.556    0.000 3429.741    0.002 /home/marie/backgammon/code/agent.py:158(score)
