Tue Sep 20 18:57:50 2022    output.dat

         293407445 function calls (284768797 primitive calls) in 167.347 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 36781353    2.260    0.000    2.260    0.000 {built-in method numpy.asarray}
 17700205    2.185    0.000    3.461    0.000 {built-in method builtins.isinstance}
14711580/13077500    5.331    0.000   38.751    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 12260451    3.052    0.000   16.046    0.000 {method 'all' of 'numpy.ndarray' objects}
 12260451   10.808    0.000   10.808    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 12260451    4.160    0.000   39.439    0.000 <__array_function__ internals>:2(array_equal)
 12260451    0.940    0.000    0.940    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
 12260451   12.353    0.000   30.659    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
 12260451    2.186    0.000   12.994    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
  7569794    2.880    0.000    3.092    0.000 {built-in method builtins.getattr}
  6687410    0.641    0.000    0.641    0.000 {method 'get' of 'dict' objects}
  4905541    0.403    0.000    0.403    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
  4905501    2.547    0.000    2.547    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
  4165903    0.929    0.000    2.785    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
4057687/1536431    3.149    0.000   91.930    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
3545203/1533791    5.712    0.000   82.372    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
  3508626    0.384    0.000    0.384    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  3507754    1.304    0.000    1.688    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
  3243435    0.336    0.000    0.336    0.000 {method 'append' of 'list' objects}
  3046391    0.241    0.000    0.241    0.000 {built-in method builtins.id}
  3017115    0.533    0.000    0.533    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
  2892299    2.155    0.000    2.155    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
  2762610    0.337    0.000    0.338    0.000 {built-in method builtins.issubclass}
2531693/2531691    1.390    0.000   36.406    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
