Mon Sep 19 13:15:09 2022    output.dat

         4473895 function calls (4140943 primitive calls) in 1.762 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   584181    0.043    0.000    0.043    0.000 {method 'get' of 'dict' objects}
   529151    0.036    0.000    0.036    0.000 {built-in method builtins.id}
   428921    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
285138/8926    0.256    0.000    0.641    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
   241776    0.035    0.000    0.036    0.000 {built-in method builtins.getattr}
   233442    0.015    0.000    0.015    0.000 {built-in method numpy.asarray}
   216491    0.072    0.000    0.102    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
   213507    0.017    0.000    0.017    0.000 {built-in method builtins.issubclass}
   196584    0.090    0.000    0.090    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   103152    0.013    0.000    0.021    0.000 {built-in method builtins.isinstance}
91863/82503    0.033    0.000    0.245    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    77814    0.021    0.000    0.102    0.000 {method 'all' of 'numpy.ndarray' objects}
    77814    0.067    0.000    0.067    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    77814    0.027    0.000    0.251    0.000 <__array_function__ internals>:2(array_equal)
    77814    0.006    0.000    0.006    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
    77814    0.078    0.000    0.195    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
    77814    0.014    0.000    0.081    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
    68647    0.005    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:182(_deepcopy_atomic)
32502/32500    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    28277    0.002    0.000    0.002    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
    28243    0.015    0.000    0.015    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
    24029    0.006    0.000    0.016    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
23441/8789    0.019    0.000    0.557    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
    20493    0.007    0.000    0.010    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
    20493    0.002    0.000    0.002    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
20490/8784    0.034    0.000    0.494    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
