Mon Sep 19 15:13:49 2022    output.dat

         656978839 function calls (637454548 primitive calls) in 375.708 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 82579218    5.075    0.000    5.075    0.000 {built-in method numpy.asarray}
39499628/39499621    4.831    0.000    7.355    0.000 {built-in method builtins.isinstance}
33082839/29378615   12.101    0.000   87.083    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 27526441   24.288    0.000   24.288    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 27526372    9.406    0.000   88.637    0.000 <__array_function__ internals>:2(array_equal)
 27526372    2.116    0.000    2.116    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
 27526372   27.575    0.000   68.758    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
 27526370    7.119    0.000   36.108    0.000 {method 'all' of 'numpy.ndarray' objects}
 27526370    4.702    0.000   28.989    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
 16922317    6.689    0.000    7.166    0.000 {built-in method builtins.getattr}
 15124779    1.423    0.000    1.423    0.000 {method 'get' of 'dict' objects}
 10896754    0.897    0.000    0.897    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2131(context_safe)
 10895337    5.369    0.000    5.369    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
  9297139    2.108    0.000    6.407    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
9062558/3408676    7.342    0.000  207.557    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
7928969/3408771   12.886    0.000  185.904    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
  7843680    2.783    0.000    3.637    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
