Mon Sep 19 13:15:09 2022    output.dat

         4473895 function calls (4140943 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
285138/8926    0.256    0.000    0.641    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:128(deepcopy)
     8773    0.117    0.000    0.117    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    10543    0.092    0.000    0.104    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
   196584    0.090    0.000    0.090    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
    77814    0.078    0.000    0.195    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
   216491    0.072    0.000    0.102    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:242(_keep_alive)
7688/3051    0.070    0.000    0.071    0.000 {built-in method _abc._abc_subclasscheck}
    77814    0.067    0.000    0.067    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8191    0.056    0.000    0.520    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:200(_deepcopy_list)
   584181    0.043    0.000    0.043    0.000 {method 'get' of 'dict' objects}
  9948/50    0.036    0.000    0.653    0.013 /home/marie/backgammon/code/agent.py:62(build_actions)
   529151    0.036    0.000    0.036    0.000 {built-in method builtins.id}
   241776    0.035    0.000    0.036    0.000 {built-in method builtins.getattr}
20490/8784    0.034    0.000    0.494    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
91863/82503    0.033    0.000    0.245    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   428921    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
      635    0.030    0.000    0.289    0.000 /home/marie/backgammon/code/env/backgammon.py:171(take_step)
14651/14649    0.029    0.000    0.212    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
     2925    0.028    0.000    0.335    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
    77814    0.027    0.000    0.251    0.000 <__array_function__ internals>:2(array_equal)
    77814    0.021    0.000    0.102    0.000 {method 'all' of 'numpy.ndarray' objects}
10296/8926    0.021    0.000    0.625    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:226(_deepcopy_dict)
23441/8789    0.019    0.000    0.557    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
   213507    0.017    0.000    0.017    0.000 {built-in method builtins.issubclass}
   233442    0.015    0.000    0.015    0.000 {built-in method numpy.asarray}
    28243    0.015    0.000    0.015    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
    77814    0.014    0.000    0.081    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
      586    0.013    0.000    0.215    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:893(__call__)
   103152    0.013    0.000    0.021    0.000 {built-in method builtins.isinstance}
    16983    0.012    0.000    0.012    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
    13552    0.012    0.000    0.080    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    10543    0.009    0.000    0.125    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
     8223    0.009    0.000    0.022    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6670(name_scope)
14651/14649    0.008    0.000    0.220    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
     3520    0.008    0.000    0.013    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6923(__enter__)
      585    0.007    0.000    0.659    0.001 /home/marie/backgammon/code/agent.py:154(score)
    20493    0.007    0.000    0.010    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1129(dtype)
    77814    0.006    0.000    0.006    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2381(_array_equal_dispatcher)
    13569    0.006    0.000    0.086    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:355(flatten)
    24029    0.006    0.000    0.016    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
     8776    0.006    0.000    0.024    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
    10539    0.005    0.000    0.008    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:112(get)
    10073    0.005    0.000    0.011    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
     8775    0.005    0.000    0.175    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1419(stack)
     4680    0.005    0.000    0.024    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4762(append)
    68647    0.005    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:182(_deepcopy_atomic)
      587    0.005    0.000    0.014    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/input_spec.py:155(assert_input_compatibility)
    10543    0.005    0.000    0.108    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
      585    0.004    0.000    0.025    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:936(cast)
    10543    0.004    0.000    0.129    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
     7038    0.004    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:990(scope_name)
      586    0.004    0.000    0.040    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:3488(matmul)
    10543    0.004    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:995(device_name)
    10011    0.004    0.000    0.009    0.000 {built-in method builtins.all}
      586    0.004    0.000    0.085    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/layers/core/dense.py:166(call)
     4820    0.004    0.000    0.008    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:66(copy)
     1174    0.004    0.000    0.060    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:808(map_structure)
     1757    0.004    0.000    0.031    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
     2925    0.004    0.000    0.039    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
     2927    0.003    0.000    0.023    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
     3520    0.003    0.000    0.008    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6957(__exit__)
     6618    0.003    0.000    0.074    0.000 {built-in method _abc._abc_instancecheck}
    17553    0.003    0.000    0.003    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1575(<genexpr>)
     8776    0.003    0.000    0.107    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
     1170    0.003    0.000    0.046    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1435(r_binary_op_wrapper)
     8776    0.003    0.000    0.027    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
     4680    0.003    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1718(ravel)
     2925    0.003    0.000    0.041    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
     4680    0.003    0.000    0.009    0.000 <__array_function__ internals>:2(concatenate)
