Mon Sep 19 15:13:49 2022    output.dat

         656978839 function calls (637454548 primitive calls) in 375.708 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3298419   42.873    0.000   42.874    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
  4075696   35.149    0.000   38.385    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
 27526372   27.575    0.000   68.758    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/numeric.py:2385(array_equal)
 27526441   24.288    0.000   24.288    0.000 {method 'reduce' of 'numpy.ufunc' objects}
7928969/3408771   12.886    0.000  185.904    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
33082839/29378615   12.101    0.000   87.083    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
5666364/5666348   11.087    0.000   78.950    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1572(convert_to_tensor)
   228564   10.785    0.000  102.094    0.000 /home/marie/backgammon/code/env/backgammon.py:171(take_step)
  1130036   10.652    0.000  128.603    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
 27526372    9.406    0.000   88.637    0.000 <__array_function__ internals>:2(array_equal)
9062558/3408676    7.342    0.000  207.557    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
 27526370    7.119    0.000   36.108    0.000 {method 'all' of 'numpy.ndarray' objects}
 16922317    6.689    0.000    7.166    0.000 {built-in method builtins.getattr}
 10895337    5.369    0.000    5.369    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
 82579218    5.075    0.000    5.075    0.000 {built-in method numpy.asarray}
39499628/39499621    4.831    0.000    7.355    0.000 {built-in method builtins.isinstance}
231518/228457    4.800    0.000   77.381    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:893(__call__)
 27526370    4.702    0.000   28.989    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:60(_all)
  6474070    4.627    0.000    4.627    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:175(__eq__)
  5231122    4.360    0.000    4.430    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
